age,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly,hdlngth
2.0,58.0,87.5,38.0,66.7,43.5,16.0,25.5,31.5,89.6
2.0,62.8,96.0,40.0,73.2,44.5,14.7,32.0,36.0,102.5
7.0,56.4,87.0,38.0,65.4,44.1,13.0,27.0,34.0,91.9
6.0,57.6,90.0,40.0,65.7,42.8,15.0,27.5,34.0,92.8
4.0,59.2,85.0,37.0,69.0,45.0,15.9,29.5,35.5,95.4
3.0,55.0,84.5,36.0,72.8,51.4,13.6,27.0,30.0,91.0
4.0,56.1,89.0,36.0,72.8,53.3,15.4,28.0,35.0,92.5
5.0,63.2,85.0,34.0,66.9,44.9,17.0,28.0,35.0,98.6
9.0,57.2,89.5,39.0,77.2,51.3,14.9,31.0,34.0,93.3
8.0,60.4,89.0,36.0,74.5,54.5,15.2,28.0,36.0,94.1
5.0,55.4,90.5,35.0,73.4,53.9,15.2,28.0,32.0,94.4
3.0,54.1,93.0,37.0,68.0,52.5,14.5,27.0,31.0,92.8
1.0,54.7,82.5,39.0,64.4,48.0,14.0,25.0,33.0,88.6
2.0,55.7,85.5,36.5,73.1,53.1,14.4,26.0,28.5,90.6
3.0,56.0,85.5,38.0,65.6,41.7,17.0,27.5,35.0,90.6
2.0,56.3,85.5,36.0,71.0,53.2,15.1,28.5,33.0,91.5
3.0,53.1,86.0,38.0,63.8,46.0,14.5,25.0,31.5,91.0
4.0,54.0,82.0,36.5,60.7,42.9,15.4,26.0,32.0,86.0
5.0,59.9,89.5,36.0,71.0,49.8,15.8,27.0,32.0,95.1
4.0,56.7,94.0,39.0,74.8,52.0,14.9,28.0,34.0,94.3
1.0,52.6,84.0,38.0,62.3,44.8,15.0,23.5,30.5,86.7
